datetime,open,high,low,close,volume
1.56289326e+18,3912.098,3914.979,3909.0,3910.689,12562.0
1.56289332e+18,3910.689,3911.394,3907.997,3911.394,8394.0
1.56289338e+18,3911.394,3914.619,3909.985,3914.619,9662.0
1.56289344e+18,3914.619,3918.347,3913.915,3916.657,14840.0
1.5628935e+18,3916.657,3917.364,3913.984,3916.733,8436.0
1.56289356e+18,3916.733,3916.94,3914.837,3915.956,3694.0
1.56289362e+18,3915.956,3917.364,3914.059,3916.453,5346.0
1.56289368e+18,3916.453,3917.369,3914.697,3914.697,4020.0
1.56289374e+18,3914.697,3915.608,3912.304,3913.786,7466.0
1.5628938e+18,3913.786,3915.464,3913.07,3915.257,3934.0
1.56289386e+18,3915.257,3916.656,3914.552,3916.375,5250.0
1.56289392e+18,3916.375,3922.432,3915.671,3922.432,17032.0
1.56289398e+18,3922.432,3923.063,3918.92,3922.858,13272.0
1.56289404e+18,3922.858,3924.333,3921.523,3924.052,14312.0
1.5628941e+18,3924.052,3925.317,3922.303,3923.348,15636.0
1.56289416e+18,3923.348,3924.259,3921.525,3922.436,5794.0
1.56289422e+18,3922.436,3923.348,3921.525,3923.214,4324.0
1.56289428e+18,3923.214,3927.019,3921.732,3926.314,15758.0
1.56289434e+18,3926.314,3927.019,3924.223,3925.765,8476.0
1.5628944e+18,3925.765,3928.015,3925.06,3925.134,12358.0
1.56289446e+18,3925.134,3927.527,3924.149,3926.75,8128.0
1.56289452e+18,3926.75,3926.75,3922.253,3922.253,8368.0
1.56289458e+18,3922.253,3924.853,3920.477,3922.166,14036.0
1.56289464e+18,3922.166,3922.87,3920.55,3922.373,5716.0
1.5628947e+18,3922.373,3923.151,3921.255,3923.151,4244.0
1.56289476e+18,3923.151,3923.855,3918.861,3919.906,7536.0
1.56289482e+18,3919.906,3922.17,3919.906,3921.393,3732.0
1.56289488e+18,3921.393,3924.421,3920.688,3924.421,2836.0
1.56289494e+18,3924.421,3924.421,3922.524,3922.524,2778.0
1.562895e+18,3922.524,3925.052,3919.852,3920.556,10890.0
1.56289506e+18,3920.556,3921.541,3918.941,3920.557,5370.0
1.56289512e+18,3920.557,3920.764,3918.868,3919.646,4256.0
1.56289518e+18,3919.646,3919.853,3917.957,3918.661,4504.0
